Title,Precondition,Expected Results,Section,Steps
UI of Home page displays as design ,,"- UI of Home page displays as design
- Title Welcome
- Menu in the top",Home,"1. Navigate to Railway 
2. Observe the UI of Home page "
"User can navigate to 'FAQ"" tab when not logged yet",,"Open ""FAQ"" tab",Home,"1. Navigate to Railway 
2. Observe the UI of Home page 
3. Navigate to ""FAQ"" tab 
4. Observe the ""FAQ"" tab"
"User can navigate to ""Contact"" tab when not logged yet",,"Opent ""Contect"" tab",Home,"1. Navigate to Railway 
2. Observe the UI of Home page 
3. Navigate to ""Contact"" tab 
4. Observe the ""Contact"" tab"
"User can navigate to ""Timetable"" tab when not logged yet",,"Open ""Timetable"" tab",Home,"1. Navigate to Railway 
2. Observe the UI of Home page 
3. Navigate to ""Timetable"" tab 
4. Observe the ""Timetable"" tab"
"User can navigate to ""Ticket price"" tab when not logged yet",,"Open ""Ticker price"" tab",Home,"1. Navigate to Railway 
2. Observe the UI of Home page 
3. Navigate to ""Ticket price"" tab 
4. Observe the ""Ticket price"" tab"
"User can navigate to ""Register"" tab when not logged yet",,"Opent ""Register"" tab",Home,"1. Navigate to Railway 
2. Observe the UI of Home page 
3. Navigate to ""Register"" tab 
4. Observe the ""Register"" tab"
"User can navigate to ""Login"" tab when not logged yet",,"Open ""Login"" tab",Home,"1. Navigate to Railway 
2. Observe the UI of Home page 
3. Navigate to ""Login"" tab 
4. Observe the ""Login"" tab"
"Navigate to ""Log in"" tab when navigate to ""Book ticket"" tab without logged in",,"Open ""login"" tab",Home,"1. Navigate to Railway 
2. Observe the UI of Home page 
3. Navigate to ""Book ticket"" tab 
4. Observe the current tab"
"User can navigate to ""My ticket"" tab when logged in",,"Open ""My ticket"" tab",Home,"1. Navigate to Railway 
2. Login an account
3. Navigate to ""My ticket"" tab 
4. Observe the current tab"
"User can navigate to ""Change password"" tab when logged in",,"Open ""Change password"" tab",Home,"1. Navigate to Railway 
2. Login an account
3. Navigate to ""Change password"" tab 
4. Observe the current tab"
"User can click to ""create an account"" link to create an account",,"Open ""Register"" tab ",Home,"1. Navigate to Railway 
2. Observe the UI of Home page 
3. Click link ""create an account"" "
"UI of ""Register"" tab displays as design ",,"- UI of ""Register"" tab displays as design 
- Title Create account
- Menu in the top
- Links and form in as same as design",Register,"1. Navigate to Railway 
2. Observe the UI of ""Register"" tab "
User can register an account with valid info ,,A message is displayed to inform users that they register successfully ,Register,"1. Navigate to Railway
2. Go to Register tab
3. Enter valid info to the fields:
- Email: 6 - 32. characters
- Password: 8 - 64 characters
- Confirm password: the same as password
- PID/Passport numbers (8 - 20 characters)
4. Click Register button"
System displays error when register with email < 6 characters,,"- On the top of the form, display error message
- Nearby the email field, display error message",Register,"1. Navigate to Railway
2. Go to Register tab
3. Enter info to the fields:
- Email: email length < 6 characters
- Password: 8 - 64 characters
- Confirm password: the same as password
- PID/Passport numbers (8 - 20 characters)
4. Click Register button"
System displays error when register with email > 32 characters,,"- On the top of the form, display error message
- Nearby the email field, display error message",Register,"1. Navigate to Railway
2. Go to Register tab
3. Enter info to the fields:
- Email: email length > 3.2. characters
- Password: 8 - 64. characters
- Confirm password: the same as password
- PID/Passport numbers (8 - 2.0 characters)
4. Click Register button"
System displays error when register with wrong confirm password,,"- On the top of the form, display error message
- Nearby the email field, display error message",Register,"1. Navigate to Railway
2. Go to Register tab
3. Enter info to the fields:
- Email: wrong format
- Password: 8 - 64 characters
- Confirm password: the same as password
- PID/Passport numbers (8 - 20 characters)
4. Click Register button"
